TRANSCRIPT_TEXT,REVIEW_DATE,BRANCH_NUMBER,REGION_NUMBER,CUSTOMER_ID
"Les conditions des agences Bank Corp laissent à désirer. Salle d'attente mal entretenue, sièges inconfortables et toilettes rarement propres. L'éclairage est faible, la ventilation insuffisante et plusieurs guichets/ATM étaient hors service lors de ma visite. Signalisation confuse et accès pour personnes à mobilité réduite limité. Un service client aimable mais l'état des locaux doit être amélioré.",2025-08-16,17,4,458
"Visitei a unidade drive-thru do Bank Corp ontem. O tempo de espera foi um pouco acima do esperado, cerca de dez minutos, mas o atendimento foi cortês e eficiente. Com mais um funcionário no caixa drive-thru o fluxo melhoraria. No geral, experiência aceitável, com espaço para reduzir a espera.",2025-09-05,17,5,291
"Visitei uma agência do Bank Corp para acessar meu cofre de segurança. O processo foi razoavelmente eficiente: precisei agendar, a equipe explicou a documentação e o procedimento, mas houve espera de cerca de 15 minutos. As instalações são adequadas e a segurança transmite confiança. Atendimento profissional, embora a comunicação sobre horários pudesse ser mais clara.",2025-06-28,37,4,525
"Visité la sucursal de Bank Corp y mi experiencia con la cajera fue decepcionante. Atendió de manera fría y poco profesional, tardó mucho en procesar un depósito y no supo responder preguntas básicas sobre mi cuenta. Además dio respuestas evasivas cuando pedí aclaraciones. Esperaba más cortesía y competencia del personal. Si no mejoran la atención y la capacitación, dudo volver a esta sucursal.",2025-06-25,36,6,197
"Je suis client de Bank Corp et très satisfait de l'expérience en agence. Mon conseiller a fait preuve d'un professionnalisme et d'une expertise remarquables, expliquant clairement chaque option, répondant à toutes mes questions avec patience et réactivité. Opérations rapides, conseils personnalisés et grand sens du service. Je recommande vivement cette agence et ce conseiller à tous.",2025-07-22,3,3,413
"J'ai été déçu par le délai d'attente au guichet drive de Bank Corp. J'ai attendu plus de 15 minutes alors que la file avançait lentement et il n'y avait qu'un employé pour plusieurs clients. Le service était poli, mais l'attente est inacceptable pour une banque de cette taille.",2025-08-10,5,2,435
"J'ai visité une agence de Bank Corp pour une opération courante. La chargée de clientèle était professionnelle et compétente : elle a traité ma demande avec efficacité et a expliqué les étapes de façon claire. L'accueil était calme et le service sérieux, même si l'attente a été légèrement longue. Dans l'ensemble, expérience correcte concernant le professionnalisme du personnel.",2025-08-15,28,5,607
"Les agences Bank Corp déçoivent côté conditions des locaux. Salle d’attente mal entretenue, sièges usés, toilettes peu propres et distributeur hors service. Signalisation et accès pour personnes à mobilité réduite insuffisants; climatisation souvent défaillante. Le personnel est professionnel, mais l’environnement aurait besoin d’un entretien régulier et d’investissements pour plus de confort et d’hygiène.",2025-08-03,36,3,270
"Accedí a una caja de seguridad en una sucursal de Bank Corp. El proceso requiere cita, identificación y firma de formularios; la atención fue profesional y las instalaciones seguras. El acceso fue puntual aunque con algo de papeleo. En general, cumple con lo esperado para este servicio.",2025-06-12,10,3,496
"Visited my local Bank Corp branch and was disappointed by the condition of the facility. The lobby felt dated — peeling paint, stained carpet and several broken chairs. Lighting was dim and the HVAC made it uncomfortably cold. The restroom was unclean and the ATM outside had a cracked screen. Staff were polite but the worn space makes routine visits unpleasant; the branch clearly needs maintenance and a refresh.",2025-06-13,27,1,25
"Las sucursales de Bank Corp están limpias y bien iluminadas; el personal es atento y los asientos son cómodos. La señalización facilita encontrar servicios y la seguridad es evidente. Sin embargo, en algunas oficinas las máquinas y los baños requieren mantenimiento y en horas pico las filas son largas. En general, la condición de las instalaciones es buena y adecuada, con pequeños detalles por mejorar.",2025-08-06,24,5,469
"Excelente experiencia al acceder a mi caja de seguridad en Bank Corp. El proceso fue rápido, seguro y muy profesional; el personal fue amable y atento, explicó todo con claridad y respetó mi privacidad. Las instalaciones están impecables y la disponibilidad de citas y horarios es muy conveniente. Me siento totalmente tranquilo dejando mis pertenencias aquí. Muy recomendable.",2025-06-28,11,6,389
"J'ai eu une excellente expérience en accédant au coffre-fort chez Bank Corp. Le personnel en succursale était professionnel, ponctuel et extrêmement discret. Les installations sont modernes, très sécurisées et l'accès est simple grâce à des procédures claires. Je recommande vivement Bank Corp pour la tranquillité d'esprit et la qualité irréprochable de son service.",2025-07-08,44,2,307
"Les agences Bank Corp sont impeccables et très bien entretenues. Les locaux sont lumineux, propres et accueillants, avec des sièges confortables et une climatisation efficace. L'accès pour les personnes à mobilité réduite est parfait, la signalisation claire et la sécurité rassurante. Les toilettes sont propres et les espaces d'attente agréables. Une expérience client très positive à chaque visite.",2025-06-19,11,5,437
"Accedí a una caja de seguridad en Banco Corp. El trámite fue claro: identificación, firma y explicación de tarifas. El personal atendió de manera profesional y las instalaciones estaban en buen estado. Los horarios de acceso son algo limitados y hubo un breve tiempo de espera, pero en general el servicio cumplió con lo esperado sin sorpresas positivas ni negativas.",2025-08-02,10,3,231
Terrible experience at Bank Corp branch. I waited over 45 minutes inside with no apology and only one teller working; staff seemed indifferent and offered no updates. Completely unacceptable for a bank — wasted my lunch break and lost my business. Would not recommend until management fixes staffing and the queue system.,2025-06-13,9,6,100
"A agência da Bank Corp tem boa localização e ambiente geralmente limpo e organizado. Atendimento é cortês e filas se movem rápido. Notei, porém, alguns móveis desgastados e o ar-condicionado funcionando de forma irregular. Banheiros bem conservados, mas a iluminação e sinalização poderiam ser melhoradas. No geral, uma experiência positiva com pequenas melhorias necessárias nas condições da unidade.",2025-06-25,43,1,530
"Visite à une agence Bank Corp. L'attente à l'intérieur a été raisonnable (15–20 minutes), le personnel était accueillant et efficace une fois pris en charge. La salle d'attente était propre et confortable, mais il y avait peu d'affichage donnant une estimation du temps d'attente. Globalement satisfait, mais un affichage des files ou un guichet supplémentaire aux heures de pointe améliorerait l'expérience.",2025-09-08,11,2,135
"Péssima experiência na agência do Bank Corp. Esperei 45 minutos em pé sem qualquer informação; havia apenas um atendente e nada de organização. Funcionários despreparados, ninguém se desculpou pela demora. Atendimento lento e inaceitável — perda total de tempo. Não volto nem recomendo.",2025-06-17,14,6,116
"Usei o drive-thru do Bank Corp e, embora tenha havido um tempo de espera um pouco maior do que eu esperava, o atendimento foi eficiente e cordial. Os funcionários foram atenciosos e resolveram minha solicitação sem complicações. Recomendo, mas ficaria feliz com filas mais rápidas nos horários de pico.",2025-07-31,50,6,10
"Absolut enttäuschend: Bei Bank Corp habe ich über 40 Minuten in der Filiale gewartet, ohne Information oder Entschuldigung. Mitarbeiter wirkten überfordert und desinteressiert, kein System zur Wartezeitverkürzung. Termine scheinen nichts zu gelten, Kunden werden ignoriert. So geht Kundenservice nicht — unprofessionell und respektlos. Ich werde definitiv zu einer anderen Bank wechseln und kann Bank Corp nicht empfehlen.",2025-09-02,16,4,381
"Tive uma experiência excelente na Bank Corp. O gerente foi extremamente profissional, atencioso e esclarecedor. Explicou todas as opções com clareza, respondeu às minhas dúvidas com paciência e ofereceu soluções práticas que se ajustaram às minhas necessidades. Atendimento rápido e cordial, ambiente organizado e confiável. Recomendo a equipe da Bank Corp pela competência e pela postura exemplar.",2025-06-21,47,6,181
"Je suis très satisfait de mon expérience chez Bank Corp. Mon conseiller a fait preuve d'un professionnalisme exemplaire : écoute attentive, explications claires et solutions personnalisées adaptées à mes besoins. Le service en agence est rapide et chaleureux, et j'ai senti que mes intérêts étaient vraiment pris en compte. Grâce à leur expertise, mes projets financiers avancent sereinement. Je recommande vivement Bank Corp pour son équipe compétente et son accompagnement fiable.",2025-08-02,14,4,474
"I appreciate the tidy, well-lit Bank Corp branch and friendly staff — the lobby feels welcoming and the ATMs are well-maintained. The seating and clear signage made transactions easy. One minor issue: the restroom could be better stocked and the waiting area would benefit from an extra chair during busy hours. Overall a pleasant visit; I’d return and recommend this location with those small improvements.",2025-08-13,37,3,330
"Katastrophaler Service im Drive-Thru von Bank Corp. Über 25 Minuten in der Schlange gestanden, niemand hat informiert oder sich entschuldigt. Mitarbeiter wirkte genervt und unkoordiniert, die Transaktion dauerte ewig. Für so eine große Bank völlig inakzeptabel — werde künftig andere Filialen meiden und Freunden abraten.",2025-07-21,28,5,6
"Instalaciones deplorables. La sucursal de Bank Corp está sucia, con pisos pegajosos, baños inmundos y sillas rotas. Cajero automático fuera de servicio y máquinas con papel atascado; iluminación pobre y aire acondicionado inexistente. Huele mal y no hay señalización ni accesibilidad para personas con movilidad reducida. Inaceptable para un banco: me sentí inseguro y no volveré.",2025-07-18,5,6,388
"Ich war neulich in einer Bank Corp-Filiale und die Wartezeit im Inneren war enttäuschend lang. Trotz nur wenigen Kunden vor Ort dauerte es über 30 Minuten, bis ich dran war. Die Mitarbeiter wirkten überfordert und es gab keine klare Anzeige oder Information zur Reihenfolge. Für eine Bank erwarte ich effizienteren Service — bitte mehr Personal oder bessere Organisation, damit Kunden nicht so lange im Innenbereich warten müssen.",2025-08-19,6,1,419
"Extrem schlechte Erfahrung bei Bank Corp: Wartezeit im Filialinneren war unerträglich. Trotz wenigen Kunden vor mir dauerte es über 40 Minuten, bis mich jemand bediente. Keine Entschuldigung, keine Erklärung, Personal wirkte desinteressiert. Für einfache Kontoangelegenheiten ist das inakzeptabel — totale Zeitverschwendung. Ich werde nie wieder eine Filiale dieser Bank betreten.",2025-07-24,4,6,449
"Expérience décevante chez Bank Corp pour accéder à mon coffre-fort. Rendez-vous annulé sans préavis, puis longue attente sur place. Le personnel semblait mal informé et m'a demandé des documents supplémentaires non mentionnés au téléphone. Les horaires d'accès sont très restrictifs et les frais peu clairs. La sécurité est stricte, c'est bien, mais l'organisation laisse à désirer. Je suis un peu frustré et hésiterai à renouveler mon contrat.",2025-06-24,46,5,485
"Déçu par mon expérience chez Bank Corp. J'ai attendu plus de 30 minutes à l'intérieur sans explication ni estimation de délai; l'affichage numérique était confus. Le personnel était poli mais débordé, et ma visite est devenue stressante. Merci d'améliorer la gestion des files d'attente et la communication.",2025-06-13,22,6,35
"Expérience catastrophique avec le conseiller de l'agence Bank Corp. Manque total de professionnalisme : retard au rendez-vous, réponses évasives, erreurs sur mes documents et aucun suivi. J'ai perdu du temps et de l'argent à cause de leur négligence. Très déçu, je ne recommande pas.",2025-08-17,36,2,562
"Terrible experiencia al intentar acceder a mi caja de seguridad en Bank Corp. Personal indiferente, largas esperas, pérdida de la llave por parte del banco y excusas interminables. Me exigieron documentos que ya tenían y cobraron tarifas ocultas. El acceso fue incómodo y poco seguro; no volveré ni recomendaré este banco. Una gestión inaceptable para algo que debería ser de máxima seguridad.",2025-06-17,44,3,303
"Visité la sucursal de Bank Corp y la fila del drive-thru fue interminable; esperé más de 20 minutos para una simple transacción. Solo una ventanilla tenía personal y el servicio estuvo lento y desorganizado. Entiendo que haya momentos ocupados, pero deberían mejorar la atención o abrir más carriles. No volveré si esto sigue así.",2025-07-27,36,6,292
"Ich war kürzlich in einer Bank Corp-Filiale und leider enttäuscht von der Erfahrung am Schalter. Die Mitarbeiterin wirkte unaufmerksam und wenig professionell, Antworten waren knapp und zum Teil ungenau. Nach langer Wartezeit fühlte ich mich nicht ernst genommen, und einfache Anliegen wurden umständlich behandelt. Für eine Hausbank erwarte ich mehr Service und Freundlichkeit. Ich hoffe, dass Bank Corp die Schulung und Kundenorientierung verbessert.",2025-08-16,28,5,272
"J'ai rencontré un conseiller de Bank Corp à l'agence locale. Son comportement était professionnel et il a expliqué clairement les produits et les frais. Les délais d'attente étaient raisonnables et les réponses précises. En revanche, le suivi par courriel a été lent. Expérience neutre : compétences avérées, communication post-rendez-vous à améliorer.",2025-09-01,22,4,164
"Excelente experiencia en el drive-thru de Bank Corp. Esperé muy poco tiempo, el personal fue amable y eficiente, y la transacción fue rápida y sin complicaciones. Muy recomendable para quienes buscan rapidez y buen servicio.",2025-07-03,51,5,296
"Ich habe eine Filialberatung bei Bank Corp erhalten. Der Berater war sachlich, kompetent und erklärte Produkte verständlich. Termine wurden eingehalten, Unterlagen waren übersichtlich. Fragen wurden fachkundig beantwortet, es gab keinen Druck bei Entscheidungen. Insgesamt zufrieden mit Professionalität und Erfahrung, kleine Verbesserungsmöglichkeit bei den Wartezeiten.",2025-09-09,3,1,558
"Every visit to Bank Corp has been exceptional thanks to their tellers. Today, Maria greeted me warmly, handled my deposit efficiently, and explained account options with clear patience and professionalism. She anticipated questions, resolved a small issue quickly, and made banking stress-free. Her knowledge and courteous manner reflect well on the branch—outstanding customer service that keeps me coming back.",2025-06-16,23,3,213
"Las sucursales de Bank Corp están generalmente limpias y bien mantenidas; la sala de espera es cómoda y la señalización clara. Me agradó que las áreas sean accesibles y el aire acondicionado funciona bien. Sin embargo, en una ocasión noté que un baño estaba cerrado por mantenimiento y faltaban revistas. En general, una experiencia satisfactoria con pequeños detalles por mejorar.",2025-09-09,23,1,304
"Visitei uma agência da Bank Corp e fui atendido por um caixa com postura profissional e experiência evidente. O funcionário explicou os procedimentos de forma clara, resolveu minha solicitação com eficiência e manteve cortesia durante todo o atendimento. O tempo de espera foi razoável e o processo ocorreu sem problemas. Avaliação neutra: competente e satisfatória do ponto de vista do atendimento.",2025-09-08,34,3,567
"Tive uma experiência frustrante no drive-thru da Bank Corp. Esperei mais de 15 minutos enquanto apenas um funcionário atendia, sem explicações ou sinalização de fila. Para um banco de grande porte, o serviço foi lento e pouco eficiente — atrasou meus compromissos. Esperava mais organização e atendimento rápido; precisam melhorar o fluxo e comunicar melhor os clientes.",2025-09-07,33,5,391
"Ich war sehr beeindruckt vom Drive-Through bei Bank Corp. Keine langen Wartezeiten, die Mitarbeiter sind flink und freundlich. In wenigen Minuten war alles erledigt – Einzahlungen und Beratung schnell und professionell. Besonders praktisch für den hektischen Alltag. Klare Empfehlung für alle, die schnellen, zuverlässigen Service schätzen.",2025-08-02,8,1,421
"La atención del asesor fue profesional y atenta. Explicó con claridad los productos y respondió mis dudas, además de gestionar la documentación de manera eficiente. El trato fue respetuoso y puntual. Mi experiencia fue satisfactoria en términos de conocimiento y organización, aunque el tiempo de espera en la sucursal podría reducirse.",2025-08-31,11,1,602
"Estoy muy satisfecho con las instalaciones de Bank Corp. Sucursales limpias, modernas y bien mantenidas; asientos cómodos, buena iluminación y señalización clara. Las áreas de espera son amplias y accesibles para personas con movilidad reducida, los cajeros automáticos funcionan perfectamente y los baños están en excelente estado. Me siento seguro y cómodo en cada visita. Definitivamente superan mis expectativas.",2025-07-28,10,1,119
"Excelente experiencia en el drive-thru de Bank Corp. Esperé muy poco; el personal fue rápido, amable y eficiente. Pude hacer mi depósito y consulta en minutos sin bajar del auto. Muy recomendable para quienes buscan rapidez y buen servicio.",2025-08-18,12,4,602
"Fiquei muito satisfeito com o atendimento na agência da Bank Corp. O(a) caixa foi extremamente profissional, eficiente e cordial — explicou todos os procedimentos com clareza e resolveu minha solicitação rapidamente. Senti-me valorizado como cliente e muito tranquilo durante o processo. Recomendo fortemente esta agência e o time de atendimento pela postura impecável e pela atenção dedicada. Com certeza voltarei quando precisar.",2025-06-24,37,4,537
"Die Drive‑Thru‑Station von Bank Corp ist oft eine Geduldsprobe. Letzte Woche 20 Minuten gewartet, nur ein Fenster offen und das Personal wirkte überfordert. Für einfache Überweisungen und Einzahlungen dauert alles viel zu lang. Bei einer großen Bank erwarte ich bessere Organisation und schnellere Abwicklung. Hoffe auf spürbare Verbesserungen, sonst suche ich Alternativen.",2025-06-24,51,6,196
"Die Filiale von Bank Corp ist hervorragend gepflegt und sehr einladend. Modernes Interieur, saubere Sanitäranlagen und bequeme Sitzbereiche machen den Besuch angenehm. Gut beleuchtet, barrierefrei und mit klarer Beschilderung – man fühlt sich sicher und willkommen. Die Technik funktioniert einwandfrei, und das freundliche Personal hält alles bestens in Schuss. Absolut empfehlenswert!",2025-07-06,41,4,675
"Katastrophaler Service bei Bank Corp Drive-Thru. Ich stand mehr als 20 Minuten in der Schlange, ohne Erklärung oder Entschuldigung. Das Personal wirkte überfordert, niemand kümmerte sich um die lange Wartezeit. Für eine Bank völlig inakzeptabel. Habe meine Angelegenheiten woanders erledigt und werde nie wiederkommen. Unprofessionell, respektlos gegenüber Kund:innen und extrem frustrierend.",2025-06-15,39,4,364
"J'ai récemment utilisé le coffre-fort en succursale de Bank Corp. Le personnel était courtois et m'a aidé à retrouver mon dossier rapidement. L'accès au coffre était sécurisé et les instructions claires; l'espace était propre. Seul bémol : le délai pour obtenir un rendez-vous était un peu long. Globalement, expérience positive, je recommande pour la sécurité de vos biens.",2025-08-06,9,5,192
"I was appalled by the drive-thru at Bank Corp. Waited nearly 30 minutes for a simple deposit, with no updates, understaffed and uninterested tellers. Traffic backed up, wasting my time. Staff indifferent when I complained. Totally unacceptable for a bank — will take my business elsewhere and warn friends.",2025-06-30,16,4,96
"Las sucursales de Bank Corp están generalmente limpias y bien iluminadas; el personal es amable y el mobiliario cómodo. Me gusta la señalización clara y los cajeros automáticos funcionan bien. Sin embargo, a veces hay poco espacio en la sala de espera y el aire acondicionado puede ser irregular. En general, condiciones aceptables y mejorables, pero satisfactorias para la mayoría de gestiones.",2025-07-04,23,1,135
"Ich bin begeistert von der Drive‑Thru bei Bank Corp. Die Wartezeit ist stets extrem kurz, meist nur wenige Minuten. Das Personal ist freundlich und sehr effizient — meine Angelegenheiten werden schnell und zuverlässig erledigt. Besonders praktisch für meinen vollen Terminkalender. Uneingeschränkt empfehlenswert!",2025-07-18,49,2,410
"Excelente experiencia en Bank Corp. El servicio en el drive thru fue rápido y eficiente; esperé apenas unos minutos. El personal fue muy amable y profesional, resolvió mi trámite con precisión sin bajar del auto. Muy conveniente para quienes tenemos poco tiempo. Sin duda volveré y lo recomiendo.",2025-07-25,28,3,171
"Extrem enttäuschend: Der Drive‑Thru bei Bank Corp ist eine einzige Katastrophe. Über 30 Minuten im Auto warten, niemand am Fenster, keine Entschuldigung — total unprofessionell und respektlos gegenüber Kunden. Für einfache Bankgeschäfte so lange aufgehalten zu werden, ist vollkommen inakzeptabel. Ich komme nie wieder.",2025-07-07,1,1,292
"Excelente experiência na Bank Corp! Cheguei à agência e fui atendido rapidamente — tempo de espera praticamente zero. Equipe atenciosa e eficiente, processo ágil e sem complicações. A combinação de atendimento cordial e rapidez me surpreendeu positivamente. Recomendo a Bank Corp para quem valoriza tempo e bom serviço.",2025-07-16,13,2,338
"I’ve banked at Bank Corp for years but my last visit was disappointing. The teller seemed inexperienced and flustered, took a long time to process a simple deposit, gave inconsistent information about fees, and was curt when I asked questions. Service felt unorganized and left me unsure my transaction was handled correctly. If they improved training and communication it would make a big difference.",2025-06-27,48,6,684
"I visited a Bank Corp branch to access my safety deposit box. The appointment process was straightforward, staff were professional and the vault area appeared secure and well maintained. Identification and paperwork checks took a few minutes. Access hours are limited, so plan ahead. Fees and procedures were clearly explained. Overall a competent, uneventful experience.",2025-07-18,3,3,629
"I had an utterly unacceptable experience at Bank Corp's drive-thru. I waited forever with no updates, the line barely moved and staff seemed indifferent. Transactions were painfully slow and disorganized—completely unacceptable for a bank. I won’t be returning and will advise others to avoid the drive-thru until they actually fix staffing and procedures.",2025-07-25,29,6,382
"I recently visited Bank Corp to access my security deposit box. The branch staff were professional and walked me through the ID checks and paperwork. The vault area felt secure and well-maintained. I waited about 15 minutes, which was reasonable, though access hours could be more flexible. Overall a smooth and reassuring experience — competent staff and strong security.",2025-07-11,48,5,20
"Mon passage à l'agence Bank Corp s'est bien passé. L'agent de guichet était professionnel, courtois et parfaitement renseigné ; il a traité ma demande rapidement et expliqué les étapes clairement. Seule réserve : petite attente en début de journée. Globalement service efficace et humain, je reviendrai.",2025-08-26,47,3,76
"Visité una sucursal de Bank Corp y la cajera fue muy profesional y eficiente. Me atendió con cortesía, explicó claramente las opciones de mi cuenta y resolvió un problema rápido. La espera fue algo larga, pero la atención compensó la demora. Recomiendo la sucursal por la amabilidad del personal; con un poco más de rapidez sería perfecta.",2025-07-02,47,3,66
"Passei 45 minutos na fila dentro da agência do Bank Corp e saí sem ser atendido adequadamente. Funcionários pareciam desorganizados e indiferentes; não houve explicação nem pedido de desculpas. Atendimento lento, ineficiente e inaceitável — total desrespeito pelo tempo do cliente. Não volto e não recomendo.",2025-09-12,22,6,455
"La succursale Bank Corp est dans un état déplorable. Sols sales, banquettes déchirées, éclairage vacillant et distributeur hors service. L'odeur désagréable et les machines poussiéreuses donnent l'impression d'un lieu abandonné. Aucune réparation visible, ni entretien régulier. C'est honteux pour une banque: je n'y remettrai plus les pieds et je déconseille vivement cette agence à quiconque cherche un minimum de propreté et de sécurité.",2025-06-14,46,2,595
"Der Besuch bei Bank Corp war enttäuschend. Der Berater wirkte unvorbereitet, konnte meine Fragen nicht klar beantworten und drängte stärker auf Produkte als auf meine Bedürfnisse ein. Wartezeiten waren lang, Rückrufe blieben aus. Positiv: Filiale sauber und Mitarbeiter freundlich, aber die fachliche Kompetenz und Verlässlichkeit haben mich nicht überzeugt. Ich erwarte besseres Service- und Beratungsniveau.",2025-07-03,26,6,625
"Terrible experiencia en Bank Corp. El/la cajero/a fue grosero/a, indiferente y totalmente poco profesional; me interrumpió, no respondió mis dudas y demoró la operación sin motivo. La actitud del personal fue despectiva y no ofrecieron ninguna solución. Nunca volveré a esta sucursal ni la recomendaré. Una atención al cliente indignante para un banco que debería ser serio.",2025-08-07,32,3,533
"Meine Erfahrungen bei Bank Corp waren katastrophal. Die Berater waren unfreundlich, unprofessionell und wirkten völlig inkompetent. Fehlende Transparenz, widersprüchliche Informationen und unzureichende Antworten auf einfache Fragen. Lange Wartezeiten und Desinteresse haben mein Vertrauen zerstört. Absolut nicht empfehlenswert — werde nie wieder dorthin gehen.",2025-07-31,9,6,641
"I visited Bank Corp to deposit a check and open a savings account. The teller was professional and handled my requests accurately, explaining my options clearly. Service was efficient, though there was a short wait. Overall, a satisfactory experience with competent staff; I would return for routine transactions.",2025-07-15,1,5,653
"Visité una sucursal de Bank Corp y la cajera fue excepcional: profesional, eficiente y muy amable. Explicó cada paso con claridad, resolvió mi trámite rápido y con atención personalizada. Gracias a su actitud confiable mi experiencia fue excelente; sin duda volveré y recomiendo esta sucursal.",2025-06-14,23,4,80
"Ich bin sehr zufrieden mit meiner Erfahrung bei Bank Corp beim Zugriff auf mein Sicherheitsschließfach. Die Filiale ist modern und sicher, das Personal war freundlich, kompetent und hat den Prozess schnell und unkompliziert erklärt. Die Zugangskontrollen geben mir große Sicherheit und die Termine liefen pünktlich. Ich fühle mich dort gut aufgehoben und kann Bank Corp wärmstens empfehlen.",2025-08-13,8,5,192
"Lors de ma visite à une agence Bank Corp, l'attente à l'intérieur a été un peu longue, mais le personnel est resté professionnel. Une fois pris en charge, les démarches se sont déroulées efficacement. Avis neutre : service correct, la gestion de la file pourrait être améliorée.",2025-08-05,35,4,551
"Visité el drive-thru de Bank Corp ayer para un depósito rápido. Esperé unos 10 minutos, lo que me pareció algo más lento de lo esperado, aunque el empleado fue profesional y el servicio correcto. Podrían mejorar señalización y agilizar la fila en horas punta. En general, la experiencia fue aceptable pero con margen de mejora en tiempos de espera.",2025-07-11,37,3,472
Terrible experiencia en el drive-thru de Bank Corp. Esperé más de 20 minutos sin explicación; nadie contestaba el intercomunicador y la fila no avanzaba. El personal finalmente fue grosero y lento. Indignante y poco profesional para un banco. No lo recomiendo en absoluto.,2025-08-26,43,5,230
"Schlechte Erfahrung mit dem Schließfachzugang bei Bank Corp. Terminvergabe unflexibel, Wartezeiten lang und der Mitarbeiter wirkte genervt. Sicherheitskontrollen sind verständlich, aber Prozedur unnötig kompliziert und schlecht erklärt. Mein Schließfach war teilweise blockiert, man bot keine klare Lösung an. Zusätzlich überraschende Gebühren. Für ein großes Institut erwarte ich mehr Professionalität und transparentere Abläufe. Ich überlege, das Konto und Schließfach zu wechseln.",2025-06-23,40,2,472
"Experiência péssima no drive-thru do Bank Corp. Esperei mais de 25 minutos em fila lenta, sem explicações ou desculpas dos funcionários. Atendimento ineficiente e desorganizado, parecia que ninguém se importava com os clientes. Completa falta de respeito com o tempo das pessoas — não volto e não recomendo.",2025-08-10,20,3,431
"Usei o drive-thru do Bank Corp recentemente. A espera foi um pouco longa nos horários de pico, mas o atendimento foi eficiente e cordial assim que fui atendido. Resolveram minha operação rapidamente e com profissionalismo. Gosto da comodidade do drive-thru, só sugiro mais funcionários nos horários movimentados para reduzir o tempo de espera.",2025-08-02,24,3,131
"Visitei a agência do Bank Corp ontem e fui atendido por um caixa muito profissional. Demonstrou conhecimento, explicou opções com clareza e resolveu minha questão rapidamente. O atendimento foi eficiente e cortês, embora a fila tenha demorado um pouco. No geral, experiência positiva; recomendo pelo profissionalismo da equipe.",2025-07-03,23,2,27
"Experiência horrível no drive-thru do Bank Corp. Esperei tempo absurdo, atendimento lento e desorganizado. Funcionários pareciam despreparados e sem pressa. Perdi tempo e paciência — não recomendo, voltarei a usar outra agência. Falta de respeito com clientes.",2025-06-14,4,4,504
"Ich bin sehr zufrieden mit dem Zugriff auf mein Bankschließfach bei Bank Corp. Die Reservierung war unkompliziert, das Personal freundlich und professionell, und der Zugang zum Schließfach war jederzeit sicher und diskret. Die Räume sind sauber, gut beleuchtet und vertraulich. Besonders gefallen haben mir die flexiblen Öffnungszeiten und die klare Erklärung der Sicherheitsmaßnahmen – volle Ruhe und Vertrauen in meine Wertgegenstände. Absolut empfehlenswert.",2025-08-21,18,3,689
"Usei o drive-thru do Bank Corp ontem. A fila estava um pouco longa e esperei cerca de doze minutos, mas o atendente foi muito cordial e resolveu tudo com rapidez. Gosto da conveniência do serviço; só espero que reduzam um pouco a espera. No geral, experiência positiva.",2025-08-18,4,6,175
"Mein Besuch bei Bank Corp war enttäuschend. Der Berater wirkte unvorbereitet und hatte kaum Zeit für meine Fragen. Erläuterungen zu Produkten und Gebühren blieben oberflächlich, auf konkrete Nachfragen gab es ausweichende Antworten. Die Wartezeit war länger als vereinbart, und der Termin verlief hektisch. Für ein Haus mit Filialen erwarte ich mehr Fachkompetenz und Kundenorientierung. Ich würde mir bessere Vorbereitung und klarere Beratung wünschen.",2025-07-27,27,5,152
"Ich war sehr beeindruckt von meinem Besuch bei Bank Corp. Die Wartezeit in der Filiale war extrem kurz – kaum angekommen, wurde ich schon freundlich bedient. Die Mitarbeiter waren kompetent und effizient, sodass mein Anliegen schnell erledigt war. Rundum ein hervorragender Service!",2025-08-16,36,6,222
"A agência do Bank Corp está em condições aceitáveis. O espaço é limpo e organizado, com mobília funcional e boa iluminação. Notei sinais de desgaste em algumas áreas, como carpete e pintura, e a sinalização poderia ser mais clara para orientar clientes. A acessibilidade para cadeirantes existe, mas o espaço fica apertado em horários de pico. No geral, atende às necessidades básicas, mas há margem para melhorias na manutenção.",2025-08-19,18,1,37
"La durée d'attente au service au volant de l'agence Bank Corp était un peu plus longue que prévu. Le personnel est resté professionnel et le service s'est déroulé correctement une fois arrivé au guichet, mais j'ai passé plusieurs minutes à attendre avant d'être pris en charge. Une meilleure gestion des files réduirait l'attente.",2025-07-09,5,1,447
"J’ai utilisé le service de coffre bancaire de Bank Corp. L’accès était très sécurisé et le personnel accueillant et professionnel. La salle des coffres est propre et bien organisée ; la procédure d’identification est stricte mais expliquée clairement. J’ai attendu un peu faute de rendez-vous, mais l’ensemble reste satisfaisant. Je recommande pour la sécurité et la qualité du service.",2025-08-29,34,4,590
"Ich war kürzlich in einer Filiale von Bank Corp. Die Mitarbeiterin am Schalter war professionell, kompetent und freundlich, hat meine Fragen verständlich beantwortet und die Überweisung zügig abgewickelt. Insgesamt ein positiver Eindruck von Service und Fachwissen. Ein kleiner Minuspunkt: Die Wartezeit war etwas länger als erwartet. Trotzdem komme ich gern wieder.",2025-06-28,40,4,673
"Pésima experiencia en la sucursal de Bank Corp. Esperé más de una hora sin atenderme, sin información ni disculpas. La organización es un desastre: nadie gestiona los turnos y el personal muestra indiferencia total. Perdí tiempo valioso y no resolvieron mi trámite. No volveré y no lo recomiendo.",2025-07-23,31,4,73
